"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.87101617838067e-09,0.569287699126524,0.9,0.804,7.81359705174043e-05,"6","SNRPD2"
5.06538872591705e-09,1.17704076509242,0.643,0.437,8.12539005524355e-05,"6","PIGP"
5.08674997328552e-09,0.763017635335269,0.829,0.654,8.15965563214731e-05,"6","GNG11"
5.60299006058595e-09,0.933792925636894,0.729,0.562,8.98775635618592e-05,"6","MPC1"
5.7301235081558e-09,0.652910010073914,0.843,0.732,9.19169111943272e-05,"6","UXT"
6.09706373733458e-09,0.566507708820603,0.843,0.793,9.7802999410584e-05,"6","MORF4L1"
6.57718314558433e-09,1.50756197925032,0.543,0.292,0.000105504594838318,"6","SPX"
7.20670662831703e-09,1.23098029690896,0.657,0.456,0.000115602781024833,"6","TXNDC17"
7.21947172140403e-09,0.925034923546613,0.729,0.535,0.000115807545883042,"6","SNRPE"
8.36475305298435e-09,0.626032463742317,0.871,0.762,0.000134179003722922,"6","RHOA"
9.494368860609e-09,0.746750126856943,0.8,0.658,0.000152299170893029,"6","VDAC2"
1.04640820519745e-08,0.897129830909484,0.714,0.529,0.000167854340195723,"6","MRPS33"
1.09123860808496e-08,0.506221270956283,0.857,0.829,0.000175045585122908,"6","NDUFB7"
1.1476094736518e-08,0.668773256670913,0.814,0.694,0.000184088035668485,"6","RHEB"
1.23666479476586e-08,1.21444211190508,0.6,0.357,0.000198373399728392,"6","VBP1"
1.35736445017594e-08,0.704636874625368,0.857,0.696,0.000217734831452722,"6","S100A10"
1.39250946033715e-08,0.943982634186486,0.7,0.493,0.000223372442532682,"6","CCNG1"
1.50824093902266e-08,1.47893205846073,0.529,0.299,0.000241936929028625,"6","SMIM4"
1.52942980540107e-08,1.07842736621647,0.714,0.53,0.000245335835084385,"6","ATP6V1G3"
1.54285634326503e-08,0.742133326789481,0.814,0.673,0.000247489586023144,"6","NDUFAF3"
1.64848730807247e-08,0.669137753527117,0.829,0.716,0.000264433849087905,"6","NDUFS8"
1.70203122335506e-08,0.93410422192826,0.686,0.493,0.000273022828538385,"6","PDHA1"
1.75838282721908e-08,1.26760247348169,0.614,0.424,0.000282062189314213,"6","RPA3"
1.89186266235124e-08,1.19488648380898,0.586,0.378,0.000303473689667763,"6","CMC1"
1.98297795724595e-08,1.26304071002232,0.586,0.36,0.000318089494121823,"6","MRPL42"
2.05637973783045e-08,0.940329605789635,0.7,0.516,0.000329863873745383,"6","HPRT1"
2.13008042035674e-08,0.904561961936734,0.714,0.537,0.000341686200229425,"6","HINT2"
2.27377104575951e-08,0.855758995571829,0.771,0.575,0.000364735613450283,"6","FXYD4"
2.29458692181825e-08,0.663274533313121,0.829,0.667,0.000368074688128866,"6","NDUFA13"
2.68682549808096e-08,0.755834226211015,0.786,0.671,0.000430993678147166,"6","NDUFB8"
3.00355676224466e-08,0.722030040160904,0.786,0.663,0.000481800540231666,"6","LINC00493"
3.18328086508707e-08,1.13997064135619,0.614,0.388,0.000510630083568617,"6","ATG3"
3.18414736420296e-08,0.934520619556671,0.657,0.495,0.000510769078691797,"6","TCEB1"
3.27250342834942e-08,1.08640331498227,0.657,0.438,0.000524942274941531,"6","STAP1"
3.38052031733622e-08,0.700930962116388,0.829,0.719,0.000542269264103904,"6","RPL17"
3.43269303120116e-08,0.87857345122623,0.7,0.501,0.000550638289134978,"6","PPA1"
3.69121686255839e-08,1.07439452915877,0.629,0.457,0.000592108096922992,"6","MPC2"
3.73389863663702e-08,0.913253454019633,0.729,0.54,0.000598954680302944,"6","DNAJC19"
3.87752061694763e-08,0.703619041213199,0.843,0.713,0.000621993082164569,"6","RARRES3"
3.92141461200134e-08,0.840626044190359,0.7,0.559,0.000629034117911134,"6","VPS29"
4.10047165978478e-08,0.861129467095014,0.729,0.572,0.000657756658946077,"6","IER3IP1"
4.12971205597554e-08,0.899816592616973,0.714,0.563,0.000662447110899037,"6","C9orf16"
4.16050029771704e-08,0.735775604727564,0.814,0.656,0.00066738585275679,"6","DUT"
4.74232723092756e-08,0.983634501644782,0.729,0.507,0.000760716711113091,"6","STXBP6"
4.75894885824784e-08,0.892470712211524,0.714,0.545,0.000763382986351536,"6","TCEAL4"
5.03945749653188e-08,1.17371940161625,0.6,0.44,0.000808379377018678,"6","MCTS1"
5.1969283869187e-08,1.17052979150514,0.586,0.363,0.000833639282545628,"6","AK1"
5.29730764264679e-08,0.69758277693657,0.857,0.732,0.000849741118956972,"6","RSL24D1"
5.73790942135298e-08,0.774834191334022,0.8,0.655,0.000920418050279231,"6","EIF3M"
5.79128372343369e-08,0.617629199412653,0.814,0.721,0.000928979822075998,"6","NDUFC2"
5.90920053710112e-08,1.0345699521394,0.643,0.451,0.000947894858156391,"6","HEBP1"
7.51427550652815e-08,0.741536226474988,0.8,0.697,0.00120536493400218,"6","OXCT1"
8.91082398183246e-08,0.682691615279259,0.757,0.662,0.00142938527492574,"6","BANF1"
9.0878360833639e-08,1.02467283519064,0.629,0.394,0.0014577797861324,"6","DCXR"
1.00585621392337e-07,0.834692877344571,0.729,0.543,0.00161349395275448,"6","MAP1LC3B"
1.15048321146993e-07,0.775449315918983,0.729,0.594,0.00184549011951892,"6","C12orf57"
1.21958297448745e-07,1.09574530982787,0.614,0.364,0.00195633304937532,"6","AKR1C1"
